Campaign,Topic,Month,Year,Responses,Targets,Effectiveness
Offer - Jun 2017 Bellafill/nedling,Bellafill,June,2017,0,4981,0
Juvederm and Botox Sale,Juvederm,June,2017,0,3154,0
ZO Skin Health Summer Skin Care Event,Event,June,2017,0,17677,0
Complimentary Event - Jun 2017,Jane Iredale Cosmetics,June,2017,0,3091,0
June Specials,Event,June,2017,0,2982,0
Are your hands giving away your age?,Dermal Fillers,June,2017,0,1830,0
Bio-Identical Hormone Pellet Implantation. - Jun 2017,Bioidentical Hormone Replacement Therapy,June,2017,0,1220,0
1st Annual Men's Event,Event,June,2017,0,4103,0
HeckerDerm products,Other,June,2017,0,5337,0
Conquer The Core,Vanquish ME,June,2017,0,3450,0
SkinMedica Summer Savings,Other,June,2017,0,4567,0
10% acupuncture packages,Other,June,2017,0,462,0
Customized Hormone Replacement Therapy Female - Jun 2017,Bioidentical Hormone Replacement Therapy,June,2017,0,2612,0
June Peel Packages,Chemical Peel,June,2017,0,319,0
Open House,Mona Lisa Touch,June,2017,0,1677,0
father's day,Other,June,2017,0,7448,0
laser hair removal - groupon deal,Laser Hair Removal,June,2017,0,5679,0
20% Off MedSpa Services,Exilis Body Sculpting,June,2017,0,4567,0
JUNE TERRY TALKS ON TUESDAYS,Other,June,2017,0,2535,0
June Birthday Offer,Birthday,June,2017,0,69,0
Annual Bank Your Botox,Botox,June,2017,0,6985,0
Weight loss w/Free Consultation,Medical Weight Loss,June,2017,0,4285,0
Gift Cards for Dad - Xeomin Rebates,Botox,June,2017,0,3431,0
Urinary Incontinence Campaign,Other,June,2017,0,6323,0
June Brotox Special,Botox,June,2017,0,5165,0
Are you in the Club-Male,Other,June,2017,0,499,0
Are you in the club? Females,Other,June,2017,0,2959,0
June 2017 Kybella,Kybella,June,2017,0,968,0
"JUVÉDERM VOLLURE™ XC, complimentary SkinMedica travel bag",Dermal Fillers,June,2017,0,2182,0
Bellafill/ Botox Jun 2017,Other,June,2017,0,10363,0
Bridal Campaign,Laser Hair Removal,June,2017,0,3415,0
Colorescience Sunforgettable Summer Special,Other,June,2017,0,4362,0
Father's Day,Microdermabrasion,June,2017,0,345,0
Father's Day Appreciation,CoolSculpting,June,2017,0,1200,0
Cellfina- Cellulite Reduction to Butt and Thighs for $2499 - Jun 2017,Other,June,2017,0,5268,0
"NOT COMFORTABLE W LASER TX, TRY WAXING.",Other,June,2017,0,390,0
$20 Glycolic Peel,Chemical Peel,June,2017,0,12093,0
Perm make-up Offer - Jun 2017,Perm Makeup,June,2017,0,1663,0
June Injection Special,Other,June,2017,0,2019,0
Microdermabrasion and Collagen special,Microdermabrasion,June,2017,0,3722,0
cool sculpting mini 15%/ kybella 15% off - Jun 2017,Kybella,June,2017,0,81,0
Father's Day - Jun 2017,Event,June,2017,0,1419,0
Couples Intimacy Workshop,Event-RSVP,June,2017,0,462,0
June Summer Special 1,Microdermabrasion,June,2017,0,5801,0
"Silicone Breast Augmentation for $4,900 - Jun 2017",Breast Enhancement,June,2017,0,3379,0
"Ladies, purchase $200 and get your man $100 credit - Jun 2017",Other,June,2017,0,5871,0
"8 year Anniversary Celebration and Open House June 13, 2017",Event,June,2017,0,2223,0
June - Botox,Botox,June,2017,0,3111,0
forever young BBL,BBL Therapy,June,2017,0,4110,0
Laser Hair Special,Laser Hair Removal,June,2017,0,5288,0
"Botox treatment day - ONE DAY ONLY - Thursday, 6/29/17!!",Other,June,2017,0,3104,0
Kybella treatments starting at $500 - Jun 2017,Kybella,June,2017,0,3039,0
$400 Off Liquid Facelift,Botox,June,2017,0,5879,0
Blog Article with Offer,Dermal Fillers,June,2017,0,7543,0
Juvéderm and Botox Events,Juvederm,June,2017,0,2308,0
PRP Facelift - Jun 2017,PRP Facelift,June,2017,0,627,0
Cosmetic Awareness (PRP Hair offer),PRP Hair Restoration,June,2017,0,2608,0
June Birthdays,Birthday,June,2017,0,310,0
Get ready for Summer 2017,Other,June,2017,0,148,0
Heel Pain? June2017,Other,June,2017,0,532,0
Free syringe of - Jun 2017,Ultherapy,June,2017,0,3811,0
Sculptra Offer,Botox,June,2017,0,1104,0
Stress and Fat Loss,Event-RSVP,June,2017,0,462,0
Offer - June 2017,Other,June,2017,0,954,0
JUNE MONALISA,Mona Lisa Touch,June,2017,0,3689,0
Bikini Ready with Vampire and Velashape III,VelaShape,June,2017,0,3433,0
Vanquish - Female,Vanquish Body,June,2017,0,3696,0
Firm that beach-ready body,Exilis Body Sculpting,June,2017,0,2455,0
Cellfina - Jun 2017,Other,June,2017,0,8514,0
You Pick Two and Save $200,Juvederm,June,2017,0,2538,0
Vanquish - Male,Vanquish Body,June,2017,0,352,0
CoolSculpting- How Much Does it Cost April 2017,CoolSculpting,June,2017,0,835,0
Hyperhydrosis Treatments,Other,June,2017,0,6983,0
$250 off 10 week medical weight loss program. - Jun 2017,Medical Weight Loss,June,2017,0,1486,0
BioTE campaign,Bioidentical Hormone Replacement Therapy,June,2017,0,7255,0
"June 2017 - 3 diva treatments, DT and GF",Other,June,2017,0,1691,0
Alternative to Allergy Shots - Jun 2017,Other,June,2017,0,2622,0
SkinPen,Micro-Needling,June,2017,0,8169,0
Fraxel for Sun Damage - June 2017,Fraxel Fractional Laser,June,2017,0,1520,0
Lip Fillers,Other,June,2017,0,764,0
Kybella June 2017,Kybella,June,2017,0,5497,0
"Slow Down, You're Rushing",IV Vitamin Therapy,June,2017,0,2543,0
ExilisBody all,Exilis Body Sculpting,June,2017,0,9523,0
PRP Facelift- Buy 2 procedures get one for free $1200 (save $600) - Jun 2017,PRP Facelift,June,2017,0,2138,0
Summer Facial,Other,June,2017,0,602,0
New Client 10% off First Service,Other,June,2017,0,1622,0
10% off all Kay Dermatology Skincare Products,Event,June,2017,0,24594,0
"Latisee for $150 for 5ml vial, get $25.00 off your Botox 20 units or more - Jun 2017",Latisse,June,2017,0,230,0
HRT Pellets and Supplements Jun 2017,Bioidentical Hormone Replacement Therapy,June,2017,0,286,0
Father's Day,Laser Hair Removal,June,2017,0,2379,0
100 Off Kybella for Brilliant Distinction Members,Kybella,June,2017,0,821,0
Now you can earn and save with Brilliant Distinctions at Imami Skin and Cosmetic Center,Other,June,2017,0,6584,0
Kybella special buy 1 get 1 half off,Kybella,June,2017,0,59,0
Kybella,Kybella,June,2017,0,3560,0
Sun Protection - Summer,Other,June,2017,0,8169,0
Introducing a new Service - Micro-Blading - Jun 2017,Other,June,2017,0,2107,0
Vollure Rebate 2017,Dermal Fillers,June,2017,0,2409,0
Ready for those short shorts?,Vanquish Body,June,2017,0,3127,0
Go & Glow Summer - Jun 2017,Other,June,2017,0,289,0
MonaLisa Touch- June 22nd,Event-RSVP,June,2017,0,1110,0
one day event - Jun 2017,Event,June,2017,0,8192,0
June Hair Removal Promo,Laser Hair Removal,June,2017,0,7543,0
General Derm Awareness,Acne,June,2017,0,2608,0
June Events,Event,June,2017,0,5288,0
Botox Days $11 per unit 25 unit minimum add Any Juvederm Filler for $100 off - Jun 2017,Botox,June,2017,0,8654,0
June Birthday,Birthday,June,2017,0,84,0
Verju Lipo Laser,Zerona,June,2017,0,7415,0
Now & Again,Botox,June,2017,0,86,0
June special- Hair Free Care Free,Laser Hair Removal,June,2017,0,345,0
Coolsculpting Event - June 16th,Event-RSVP,June,2017,0,6587,0
"20% off upper eyelid lift, lower eyelid lift, or both *** special is only good for surgeries that take place from July 1, 2017 - August 31, 2017** - Jun 2017",Eyelid Surgery,June,2017,0,104,0
25% OFF - Jun 2017,Laser Hair Removal,June,2017,0,118,0
Regain Your Youthful Look!,PRP Hair Restoration,June,2017,0,2077,0
Say EYE Do this June,Dermal Fillers,June,2017,0,2959,0
Birthday Month,Birthday,June,2017,0,777,0
June Specials,Juvederm,June,2017,0,954,0
"Microneedling pacakge of 3 for $1,200. - Jun 2017",Micro-Needling,June,2017,0,140,0
"This is informational only, no special pricing. - Jun 2017",Breast Lift,June,2017,0,889,0
Summer Spa Camp,Other,June,2017,0,5288,0
Buy 2 cycles get 2nd cycle 1/2 off - Jun 2017,CoolSculpting,June,2017,0,16168,0
Buy 3 syringes for $1800 Get 1 Free - Jun 2017,Bellafill,June,2017,0,2045,0
Dad's Dad LED Bed Offer - Jun 2017,Event,June,2017,0,3630,0
June 2017 Ultherapy,Ultherapy,June,2017,0,3620,0
Renuva- Jun 2017,Other,June,2017,0,1394,0
Fathers Day,Botox,June,2017,0,5497,0
Eyelid tightening,Exilis Face,June,2017,0,2828,0
jUVEDERM SALE,Dermal Fillers,June,2017,0,1107,0
Kybella,Other,June,2017,0,2105,0
The Aesthetic Show,Aesthetic Show,June,2017,0,28739,0
Vollure - Jun 2017,Other,June,2017,0,2256,0
Coolsculpting- June 2017,CoolSculpting,June,2017,0,12925,0
OPTIMA-G Campaign,OPTIMA-G Campaign,June,2017,0,27190,0
June Restylane Coupon,Dermal Fillers,June,2017,0,6198,0
Flash Sale!,Other,June,2017,0,8169,0
Spa Promo (June),Other,June,2017,0,1752,0
Treat Dad (And Yourself!) this Father's Day,Other,June,2017,0,2331,0
Double Dipping with Latisse,Latisse,June,2017,0,6207,0
Fractional - Buy 3 Get 3,Fractional Laser,June,2017,0,6985,0
prevention for millennials!,Botox,June,2017,0,5426,0
"Microblading treatments are $595 for Eyebrows and HydraFacial MD treatments at $199. Permanent make up has to broad a range from lip liner at $450 to $2,000 for camouflage make up. - Jun 2017",Perm Makeup,June,2017,0,5568,0
15% off all Men's Therapies (See attachment) - Jun 2017,Other,June,2017,0,604,0
Services we offer,Other,June,2017,0,4761,0
Kybella for Summertime,Kybella,June,2017,0,5890,0
Summer specials for June,Laser Skin Resurfacing,June,2017,0,208,0
Mini-Make Over $799,Dermal Fillers,June,2017,0,6985,0
Please see additional details for full offer - Jun 2017,Laser Hair Removal,June,2017,0,1944,0
we want to push Heather as a provider for injectables - Jun 2017,Botox,June,2017,0,1085,0
Forever Labs $500 off summer promotion,Other,June,2017,0,4323,0
Vasershape summer special 2017,Other,June,2017,0,1049,0
Chemical Free Facial Treatments,Other,June,2017,0,462,0
Laser Skin Resurfacing,Laser Skin Resurfacing,June,2017,0,1870,0
ICON Laser Special - End of June,Fractional Laser,June,2017,0,2949,0
Summer SkinCare+spf. Jun 2017,Other,June,2017,0,3630,0
Ideal Protein Weight Loss March 2017,Medical Weight Loss,June,2017,0,835,0
June/July Botox,Botox,June,2017,0,847,0
Botox Female,Botox,June,2017,0,2014,0
Acne Awareness,Other,June,2017,0,6587,0
10% Off All Injectables/Fillers,Botox,June,2017,0,24594,0
Bloggers Love BPS,Dermal Fillers,June,2017,0,17677,0
June Peels Campaign,Chemical Peel,June,2017,0,2941,0
Hormone Therapy,Bioidentical Hormone Replacement Therapy,July,2015,2,544,3.68
Ultherapy,Ultherapy,July,2015,3,1024,2.93
Facial Consultant,Facial Consultant,July,2015,0,290,0
Cellulite Reduction,VelaShape,July,2015,7,1342,5.22
Coolsculpting,CoolSculpting,July,2015,1,230,4.35
July 2015 Event,Botox,July,2015,6,2239,2.68
Vampire Facelift,Vampire Facelifts,July,2015,10,4969,2.01
Botox,Botox,July,2015,0,2284,0
FemiLift + O-Shot,O-Shot,July,2015,7,1707,4.1
Botox,Botox,July,2015,1,230,4.35
Hormone Pellet Therapy,,July,2015,1,238,4.2
Medical Weight Loss,Medical Weight Loss,July,2015,5,1277,3.92
Bellafill Special,Dermal Fillers,July,2015,3,945,3.17
Sculptra Special,Dermal Fillers,July,2015,10,3603,2.78
Botox-Staff,Botox,July,2015,2,3999,0.5
Micro-Needling,Micro-Needling,July,2015,0,465,0
Gummy Bear Implants,Breast Enhancement,July,2015,3,1024,2.93
Vampire Breast Lift,Breast Lift,July,2015,11,7864,1.4
Facial Fillers,Dermal Fillers,July,2015,5,4813,1.04
Special Event,Special Event,July,2015,16,18029,0.89
Laser Hair Removal,Laser Hair Removal,July,2015,15,1219,12.31
Venus Legacy,Venus Body,July,2015,15,5489,2.73
Get in Shape,Medical Weight Loss,July,2015,17,17149,0.99
Botox,Botox,July,2015,4,11792,0.34
July Specials,Dermal Fillers,July,2015,1,6088,0.16
Photofacial Package,IPL Therapy,July,2015,0,589,0
Botox,Botox,July,2015,0,2008,0
Special Offers,Botox,July,2015,0,496,0
Brazilian Hair Removal,Laser Hair Removal,July,2015,3,1219,2.46
His and Her Rejuvenation,O-Shot,July,2015,6,449,13.36
Cool sculpting,CoolSculpting,July,2015,12,2360,5.08
Vanquish ZWave,Vanquish ZWave,July,2015,22,10101,2.18
Medical Weight Loss,Medical Weight Loss,July,2015,15,6881,2.18
Spider Vein Treatments,Vein Treatments,July,2015,16,18030,0.89
Body Sculpting,Zerona,July,2015,1,1219,0.82
Ultherapy,Ultherapy,July,2015,2,2489,0.8
PRP Facial,Vampire Facial,July,2015,7,10245,0.68
Laser Treatments,IPL Therapy,July,2015,3,4813,0.62
Hormone Therapy,Bioidentical Hormone Replacement Therapy,July,2015,0,496,0
Neograft,NeoGraft,July,2015,0,11792,0
Cellulite & BodyFX,Cellulite Reduction,July,2015,0,1287,0
Botox-Staff-Invite,Botox,July,2015,0,2988,0
Priapus Shot,P-Shot,July,2015,10,4646,2.15
Event Reminder,Ultherapy,July,2015,5,8322,0.6
Fraxel Laser,Fraxel Fractional Laser,July,2015,14,27016,0.52
Specials,Laser Hair Removal,July,2015,6,72237,0.08
Hair Restoration,PRP Hair Restoration,July,2015,3,3647,0.82
PRP for Hair,PRP Hair Restoration,July,2015,6,7864,0.76
Implants,Breast Enhancement,July,2015,2,4813,0.42
Laser Hair Removal,Laser Hair Removal,July,2015,0,2779,0
Micro-Needling,Micro-Needling,July,2015,1,11792,0.08
Exilis Face and Body,Exilis Body Sculpting,July,2015,0,491,0
Laser Hair Removal,Laser Hair Removal,July,2015,2,6881,0.29
Botox,Botox,July,2015,1,32668,0.03
Botox,Botox,July,2015,0,4602,0
Botox,Botox,July,2015,0,1959,0
JUVÉDERM Special,Dermal Fillers,July,2015,49,589,83.19
Natural Rejuvenation,O-Shot,July,2015,0,496,0
Tummy Tuck,Tummy Tuck,July,2015,25,5165,4.84
Ultherapy Treatment,Ultherapy,July,2015,5,3559,1.4
Permanent Cosmetics,Perm Makeup,July,2015,2,4336,0.46
ColoreScience Package,Science Package,July,2015,11,27016,0.41
Botox,Botox,July,2015,0,2999,0
Botox,Botox,July,2015,0,8317,0
Coolsculpting First,CoolSculpting,July,2015,10,1379,7.25
Facial Rejuvenation,Facial Rejuvenation,July,2015,8,6925,1.16
Micro-Needling,Micro-Needling,July,2015,3,3648,0.82
Botox,Botox,July,2015,1,1468,0.68
Laser Lipo,Laser Lipo,July,2015,3,6881,0.44
Priapus Shot,P-Shot,July,2015,6,874,6.86
Priapus Shot,P-Shot,July,2015,7,2183,3.21
Priapus Shot,P-Shot,July,2015,3,1451,2.07
Instagram Contest,Instagram Contest,July,2015,3,6282,0.48
Ultherapy Special,Ultherapy,July,2015,7,2090,3.35
Priapus Shot,P-Shot,July,2015,0,3646,0
Ultherapy,Ultherapy,July,2015,17,2284,7.44
Ultherapy,Ultherapy,July,2015,25,3999,6.25
Implants,Breast Enhancement,July,2015,8,1379,5.8
Special Event,Ultherapy,July,2015,12,4604,2.61
Clear + Brilliant,Fraxel Fractional Laser,July,2015,3,2090,1.44
July Specials,Dermaplaning,July,2015,4,8317,0.48
HydraFacial,HydraFacial,July,2015,4,1098,3.64
Medical Weight Loss,Medical Weight Loss,July,2015,42,34583,1.21
Beauty Night,HydraFacial,July,2015,13,1961,6.63
Fillers & BOTOX,Dermal Fillers,July,2015,12,2010,5.97
Medical Weight Loss,Medical Weight Loss,July,2015,1,316,3.16
Vampire Breast Lift,Breast Lift,July,2015,1,11787,0.08
Couples Rejuvenation,O-Shot,July,2015,0,386,0
Skincare Specials,IPL Therapy,July,2015,0,2248,0
Botox-Staff-Invite,Botox,July,2015,0,889,0
Your Beautiful Face!,Botox,July,2015,3,493,6.09
Radiesse Special,Dermal Fillers,July,2015,5,6048,0.83
Botox,Botox,July,2015,0,2087,0
July Botox Special,Botox,July,2016,15,410,36.59
July Birthday,Birthday,July,2016,6,374,16.04
IPL,IPL Therapy,July,2016,7,946,7.4
Body Sculpting and Weight Loss,SculpSure,July,2016,16,2275,7.03
Check out our July Specials!,Micro-Needling,July,2016,30,6036,4.97
Underarm Laser Hair Removal,Laser Hair Removal,July,2016,29,5881,4.93
PRP for Under Eyes,PRP Facelift,July,2016,12,2485,4.83
new FDA indications for Coolsculpting,CoolSculpting,July,2016,11,2327,4.73
Microneedling Education and offer,Micro-Needling,July,2016,17,3840,4.43
Laser Hair Removal BOGO,Laser Hair Removal,July,2016,23,6181,3.72
Happy Birthday!,Birthday,July,2016,4,1215,3.29
FILLER AND BOTOX,Botox,July,2016,7,2217,3.16
Summer Dayz Specials,Event,July,2016,7,2354,2.97
"Be On Point! When you look GOOD, you feel GREAT!",Juvederm,July,2016,9,3411,2.64
Skin Care,Event,July,2016,8,3030,2.64
July Specials and Events,HydraFacial,July,2016,13,5113,2.54
$100 off Botox,Botox,July,2016,7,2784,2.51
"This July, celebrate your independence from wrinkles and dark spots!",Laser Skin Resurfacing,July,2016,5,2061,2.43
"July Promotion, Event, and Flash Sale",Event,July,2016,12,5047,2.38
Protecting your skin from summer sun,,July,2016,16,7048,2.27
Vampire Facelift Austin,Vampire Facelifts,July,2016,3,1348,2.23
5 tips on how to choose the right Geographic Farm 2,,July,2016,4,1998,2
35% off on Selected Skin Care Products,Event,July,2016,2,1148,1.74
July,,July,2016,13,7984,1.63
Staycation,Event,July,2016,15,9719,1.54
"Melt fat before going to the beach! No down time, no discomfort.",VelaShape,July,2016,3,2047,1.47
Tighten skin,Skin Tightening Laser,July,2016,7,4912,1.43
Feel confident at the beach or pool this summer,CoolSculpting,July,2016,2,1647,1.21
Eye Creams,Event,July,2016,28,25064,1.12
Annual Two Patients for the Price of one Special Offer,Laser Hair Removal,July,2016,5,6527,0.77
Fourth of July Promotion,July Promotion,July,2016,5,7373,0.68
Christmas in July,Event,July,2016,5,8205,0.61
Infini treatment,Micro-Needling,July,2016,0,907,0
5 tips on how to choose the right Geographic Farm,Geographic Farm,July,2016,0,2002,0
Focus on the Face- Open House,Ultherapy,July,2016,0,2422,0
Open House Event,Event,July,2016,0,3355,0
Happy Independence Day !,Medical Weight Loss,July,2016,5,588,8.5
SkinPen,Micro-Needling,July,2016,15,901,16.65
20% off a Lower Face Ultherapy Treatment,Ultherapy,July,2016,15,1217,12.33
A full month of injection savings,Botox,July,2016,32,2663,12.02
Hydrafacial Special,HydraFacial,July,2016,27,4851,5.57
"Say goodbye to appointments, commutes and waiting rooms.",Event,July,2016,10,3882,2.58
Sculptra,Sculptra,July,2016,6,2472,2.43
Sinus Relief Special,Massage,July,2016,11,5621,1.96
Bio-Identical Hormone Replacement Therapy,Bioidentical Hormone Replacement Therapy,July,2016,9,5565,1.62
Voluma Special,Dermal Fillers,July,2016,6,4385,1.37
See a Slimmer You with CoolSculpting,CoolSculpting,July,2016,17,15875,1.07
SculpSure for Permanent Fat Loss,SculpSure,July,2016,5,6908,0.72
Botox for Severe Underarm Sweating,Botox,July,2016,4,6433,0.62
Get That Summer Glow with an Aesthetician MicroPen Treatment!,Micro-Needling,July,2016,0,15889,0
July Specials,Dermal Fillers,July,2016,16,867,18.45
Vampire FaceLift,PRP Facial,July,2016,4,259,15.44
Save $300 in July with our Platinum Weight Management Program,Medical Weight Loss,July,2016,16,1774,9.02
Introducing Ultra Shape,UltraShape,July,2016,11,2116,5.2
summer slim and trim,Medical Weight Loss,July,2016,26,5198,5
The latest trends in Facial Rejuvination,Event,July,2016,14,3935,3.56
Hyperhidrosis,Event,July,2016,9,2918,3.08
CoolSculpting campaign,CoolSculpting,July,2016,20,7065,2.83
Summer Body Contouring & Skin Tightening Special!,SculpSure,July,2016,14,5121,2.73
Monthy Specials for July 2016,Ultherapy,July,2016,26,9920,2.62
Step up for your health!,Event,July,2016,23,9723,2.37
20% Off Sculptra (series of 3),Sculptra,July,2016,8,3467,2.31
Summer Weight Loss Sale!,Event,July,2016,10,5277,1.9
ultrashape,Event,July,2016,25,13739,1.82
Goodbye to Cellulite,Cellfina,July,2016,2,1163,1.72
July's Fabulous Specials For YOU!,Event,July,2016,5,3316,1.51
Sculpsure and BBL photorejuvination,Sculpsure and BBL photorejuvination,July,2016,4,2956,1.35
ThermiVa for Orgasmic Dysfunction,ThermiVa,July,2016,10,7447,1.34
New CoolSculpt Technology,CoolSculpting,July,2016,27,25873,1.04
W* BAR's Summer Body Sculpting Promotion,Sculpting Promotion,July,2016,2,4907,0.41
Toenail Fungus,Event,July,2016,4,13369,0.3
July Newsletter,Event,July,2016,2,8985,0.22
Breast Enhancement July,Enhancement July,July,2016,1,15594,0.06
Happy Birthday — Treat Yourself in July!,Dermal Fillers,July,2016,0,197,0
"Exclusive SculpSure Launch Event, Big Giveaways!",Event,July,2016,0,6671,0
Special Promotion for FitExpo Attendees,Event,July,2016,0,61,0
Monthy Special for July,Event,July,2016,0,15544,0
We Miss You Dermal Filler campaign,Dermal Fillers,July,2016,1,54,18.52
Summer Specials,CoolSculpting,July,2016,57,7725,7.38
HeartWise,,July,2016,31,4340,7.14
Happy Birthday to You,Birthday,July,2016,6,996,6.02
BEAT THE HEAT SUMMER BOTOX EVENT,Botox,July,2016,62,10868,5.7
Follow us on Facebook & leave reviews on our website,,July,2016,9,2566,3.51
PRP (Platelet Rich Plasma) Facial,PRP Facial,July,2016,5,2126,2.35
Botox,Botox,July,2016,22,11319,1.94
July Specials,ThermiVa,July,2016,10,5405,1.85
Gift Card with Filler purchase,Dermal Fillers,July,2016,7,3842,1.82
Beautiful Brows Week,Ultherapy,July,2016,8,4385,1.82
Now offering Kybella,Kybella,July,2016,1,568,1.76
Jane Iredale Makeover/Open House Event,Event,July,2016,4,2284,1.75
Flash Sale $150 off one session of VelaShape,VelaShape,July,2016,3,2047,1.47
Botox Special,Botox,July,2016,20,14581,1.37
Chemical Peels @ $99 ea!,Chemical Peel,July,2016,5,3911,1.28
Ultherapy,Ultherapy,July,2016,7,5579,1.25
Soothing Summer Facial,Event,July,2016,4,3440,1.16
Latisse 20% Off,Latisse,July,2016,23,22710,1.01
Turn Back the Hands of Time. IPL and Radiesse for Aging Hands,IPL Therapy,July,2016,2,2298,0.87
Tired of Shaving?,Laser Hair Removal,July,2016,4,4912,0.81
Help us Build Your Brand,Your Brand,July,2016,4,6913,0.58
Laser hair removal,hair removal,July,2016,1,2228,0.45
Fourth of July,Fourth of July,July,2016,0,61,0
Refine the lines for summer with Xeomin,Event,July,2016,24,3267,7.35
Kybella & SculpSure event,Kybella,July,2016,31,6463,4.8
CoolSculpting,CoolSculpting,July,2016,20,5431,3.68
"Coolsculpting Buy 4, Get 1 Free",CoolSculpting,July,2016,20,5809,3.44
monthly specials( summer special),Event,July,2016,46,13739,3.35
Spider vein treatment,Vein Treatments,July,2016,31,10378,2.99
Patient Appreciation - Laser Discounts,IPL Therapy,July,2016,36,13371,2.69
"Refine your figure, whatever you would like to treat - We Got You Covered!",Liposuction,July,2016,12,6328,1.9
Skin Improvement 2 Offers,Microdermabrasion,July,2016,8,5882,1.36
Kybella,Kybella,July,2016,8,9099,0.88
Fuchsia Introduces Thai Massage,Massage,July,2016,7,18248,0.38
Voluma/Juvederm,Dermal Fillers,July,2016,4,12096,0.33
Announcing New Location!,Event,July,2016,4,15682,0.26
Threads/Surgery Campaign 1,Facelift,July,2016,4,19161,0.21
SkinMedica Summer Skin Care Swap,Event,July,2016,1,5121,0.2
Birthday Treat Specials : July,IPL Therapy,July,2016,0,197,0
"You know the What, Why and Where…Here is the HOW 4",,July,2016,7,2002,3.5
July Specials,ThermiVa,July,2016,16,5256,3.04
Clarification: Studio City Office is NOT moving!,,July,2016,25,15685,1.59
SculpSure Lunch and Learn,SculpSure,July,2016,8,5296,1.51
Announcing Sculpsure!,Event,July,2016,3,2428,1.24
July Promotions,Event,July,2016,3,4269,0.7
SkinCeuticals Peel and Product,Chemical Peel,July,2016,3,4387,0.68
$500 off SculpSure,SculpSure,July,2016,6,8904,0.67
Free HydraFacial (Original),HydraFacial,July,2016,0,1488,0
"Lose your Razor, USE our laser",Laser Hair Removal,July,2016,8,2430,3.29
CoolSculpting CoolAdvantage means shorter treatment times,CoolSculpting,July,2016,59,10898,5.41
Exilis Body Sculpting,,July,2016,38,7359,5.16
Cellfina,Cellfina,July,2016,32,8293,3.86
Free HydraFacial,,July,2016,5,1452,3.44
Instant $20 credit for Dysport Wrinkle Reducer,Event,July,2016,2,853,2.34
filler with botox,Dermal Fillers,July,2016,1,463,2.16
Anti-Cellulite Event,VelaShape,July,2016,30,15552,1.93
Welcome Dr Keith Durante,NeoGraft,July,2016,16,8713,1.84
Vanquish ME,Event,July,2016,6,4963,1.21
Repeat Kybella,Kybella,July,2016,1,4322,0.23
Treatment for the Double Chin,Event,July,2016,0,8809,0
Botox and Dermafiller Workshop Event,Event,July,2016,17,947,17.95
New Velashape Machine,VelaShape,July,2016,3,587,5.11
Kybella,Kybella,July,2016,3,765,3.92
"Exclusive SculpSure Event, Call today only a few spaces left!",Event,July,2016,9,2427,3.71
Glowing Skin is Always In,Event,July,2016,6,2033,2.95
"Restylane, Restylane Silk, Restylane Lyft",Dermal Fillers,July,2016,26,10813,2.4
July Special,Event,July,2016,13,5760,2.26
$500 Off Ultherapy,Ultherapy,July,2016,5,2875,1.74
Skin Tightening,Exilis Face,July,2016,14,8788,1.59
Kybella,Kybella,July,2016,3,2043,1.47
Coolsculpt,CoolSculpting,July,2016,2,1698,1.18
Repeat Fillers,Dermal Fillers,July,2016,10,8806,1.14
Part 1 - Animation,Part 1 - Animation,July,2016,14,17036,0.82
GET YOUR SKIN SUMMER READY!,Event,July,2016,4,4851,0.82
Re run Radiesse for hands,IPL Therapy,July,2016,2,2464,0.81
Weight Loss Pt2,Medical Weight Loss,July,2016,8,12097,0.66
Event Reminder Please RSVP,HydraFacial,July,2016,3,5114,0.59
Wondrous Wednesdays,Dermal Fillers,July,2016,1,3016,0.33
Campaign 2/Spa,ThermiSmooth,July,2016,3,19161,0.16
Planning for Long Term Care,Term Care,July,2016,0,11507,0
Brown Spots & Sunspots,IPL Therapy,July,2016,0,25075,0
"SculpSure Body Contouring Event RSVP TODAY, space limited!",Event,July,2016,0,6673,0
July Campaign,July Campaign,July,2016,0,690,0
Botox Bounce Back,Botox,July,2016,15,1625,9.23
Vanquish Flash Sale,Vanquish Body,July,2016,4,728,5.49
Free yourself from fine lines and wrinkles,Juvederm,July,2016,6,1197,5.01
Sip and Spa Summer Event July 21 | 4-6 pm,Event,July,2016,15,5042,2.98
Coolsculpting,CoolSculpting,July,2016,16,14582,1.1
Repeat Out of Office,Basic MedSpa Services,July,2016,0,693,0
Open House 7/21/16,Exilis Body Sculpting,July,2016,5,651,7.68
"radiesse, belotero, and xeomin",Dermal Fillers,July,2016,7,2474,2.83
20% Off Any Hair Removal and 30% Off Any Packages of 5 or more,Laser Hair Removal,July,2016,10,5230,1.91
Meeting Request,,July,2016,9,4812,1.87
Weight Loss and Nutrition go Hand in Hand,Medical Weight Loss,July,2016,10,6910,1.45
Non Surgical Brazilain Butt lift,Event,July,2016,36,29980,1.2
Summer Botox,Summer Botox,July,2016,17,15899,1.07
Integrative Gynecology,Event,July,2016,3,3270,0.92
Lipo-Light BOGO,Light BOGO,July,2016,3,3382,0.89
Black Friday in July: Ultherapy Chin strap area for only $999 & Other amazing deals!,Ultherapy,July,2016,14,15880,0.88
Summer Antiaging Combo,Ultherapy,July,2016,10,12503,0.8
Campaign 3/Cosmetic,Botox,July,2016,10,19161,0.52
Ultrashape July promotion,Event,July,2016,2,4270,0.47
